Date,Open,High,Low,Close,Adj Close,Volume
2015-02-20,53.200001,53.200001,53.200001,53.200001,49.999207,0
2015-02-23,53.180000,53.180000,53.180000,53.180000,49.980400,0
2015-02-24,53.299999,53.299999,53.299999,53.299999,50.093182,0
2015-02-25,53.299999,53.299999,53.299999,53.299999,50.093182,0
2015-02-26,53.240002,53.240002,53.240002,53.240002,50.036793,0
2015-02-27,53.060001,53.060001,53.060001,53.060001,49.867626,0
2015-03-02,53.400002,53.400002,53.400002,53.400002,50.187172,0
2015-03-03,53.169998,53.169998,53.169998,53.169998,49.971001,0
2015-03-04,52.950001,52.950001,52.950001,52.950001,49.764244,0
2015-03-05,53.029999,53.029999,53.029999,53.029999,49.839436,0
2015-03-06,52.299999,52.299999,52.299999,52.299999,49.153351,0
2015-03-09,52.500000,52.500000,52.500000,52.500000,49.341312,0
2015-03-10,51.660000,51.660000,51.660000,51.660000,48.551846,0
2015-03-11,51.639999,51.639999,51.639999,51.639999,48.533062,0
2015-03-12,52.310001,52.310001,52.310001,52.310001,49.162746,0
2015-03-13,52.009998,52.009998,52.009998,52.009998,48.880795,0
2015-03-16,52.669998,52.669998,52.669998,52.669998,49.501087,0
2015-03-17,52.549999,52.549999,52.549999,52.549999,49.388302,0
2015-03-18,53.169998,53.169998,53.169998,53.169998,49.971001,0
2015-03-19,52.959999,52.959999,52.959999,52.959999,49.773636,0
2015-03-20,53.430000,53.430000,53.430000,53.430000,50.215359,0
2015-03-23,53.330002,53.330002,53.330002,53.330002,50.121376,0
2015-03-24,52.790001,52.790001,52.790001,52.790001,49.844730,0
2015-03-25,51.980000,51.980000,51.980000,51.980000,49.079914,0
2015-03-26,51.869999,51.869999,51.869999,51.869999,48.976051,0
2015-03-27,52.040001,52.040001,52.040001,52.040001,49.136566,0
2015-03-30,52.689999,52.689999,52.689999,52.689999,49.750305,0
2015-03-31,52.279999,52.279999,52.279999,52.279999,49.363182,0
2015-04-01,52.090000,52.090000,52.090000,52.090000,49.183777,0
2015-04-02,52.279999,52.279999,52.279999,52.279999,49.363182,0
2015-04-06,52.619999,52.619999,52.619999,52.619999,49.684208,0
2015-04-07,52.480000,52.480000,52.480000,52.480000,49.552017,0
2015-04-08,52.669998,52.669998,52.669998,52.669998,49.731419,0
2015-04-09,52.849998,52.849998,52.849998,52.849998,49.901371,0
2015-04-10,53.110001,53.110001,53.110001,53.110001,50.146870,0
2015-04-13,52.900002,52.900002,52.900002,52.900002,49.948589,0
2015-04-14,52.970001,52.970001,52.970001,52.970001,50.014687,0
2015-04-15,53.259998,53.259998,53.259998,53.259998,50.288498,0
2015-04-16,53.220001,53.220001,53.220001,53.220001,50.250732,0
2015-04-17,52.590000,52.590000,52.590000,52.590000,49.655880,0
2015-04-20,53.060001,53.060001,53.060001,53.060001,50.099667,0
2015-04-21,53.009998,53.009998,53.009998,53.009998,50.052448,0
2015-04-22,53.250000,53.250000,53.250000,53.250000,50.279064,0
2015-04-23,53.400002,53.400002,53.400002,53.400002,50.420696,0
2015-04-24,53.459999,53.459999,53.459999,53.459999,50.477341,0
2015-04-27,53.180000,53.180000,53.180000,53.180000,50.212967,0
2015-04-28,53.320000,53.320000,53.320000,53.320000,50.345158,0
2015-04-29,53.090000,53.090000,53.090000,53.090000,50.127983,0
2015-04-30,52.500000,52.500000,52.500000,52.500000,49.570904,0
2015-05-01,53.040001,53.040001,53.040001,53.040001,50.080776,0
2015-05-04,53.200001,53.200001,53.200001,53.200001,50.231853,0
2015-05-05,52.549999,52.549999,52.549999,52.549999,49.618111,0
